name,species_name,reference_accessions
Aichi virus 1,Kobuvirus aichi,NC_001918.1
Akhmeta virus,Orthopoxvirus akhmetapox,NC_055230.1
Alenquer virus,Phlebovirus alenquerense,NC_055330.1;NC_055331.1;NC_055332.1
Anelloviridae sp.,Anelloviridae sp.,NC_075369.1;NC_075370.1;NC_075371.1;NC_075372.1;NC_075373.1;NC_075374.1;NC_075375.1;NC_075376.1;NC_075377.1;NC_075378.1;NC_075379.1;NC_075380.1;NC_075447.1
Astrovirus MLB2,Astrovirus MLB2,NC_016155.1
Astrovirus MLB3,Astrovirus MLB3,NC_019028.1
Astrovirus VA1,Mamastrovirus virginiaense,NC_013060.1
Astrovirus VA3,Astrovirus VA3,NC_019026.1
Astrovirus VA4,Astrovirus VA4,NC_019027.1
Bacteriophage sp.,Bacteriophage sp.,NC_134744.1;NC_134821.1;NC_134822.1;NC_134823.1;NC_134824.1
Bastrovirus 7,Bastrovirus BAS-1,NC_035758.1
Beiji nairovirus,Norwavirus beijiense,NC_079009.1;NC_079010.1
Betacoronavirus England 1,Betacoronavirus cameli,NC_038294.1
Bocaparvovirus primate1,Bocaparvovirus primate1,NC_075120.1
Bufavirus-3,Bufavirus-3,NC_024888.1
Bundibugyo ebolavirus,Orthoebolavirus bundibugyoense,NC_014373.1
Catu virus,Orthobunyavirus catuense,NC_038726.1;NC_038727.1;NC_038728.1
Central cimpanzee simian foamy virus,Simiispumavirus pantrotro,NC_039024.1
Chandipura virus,Vesiculovirus chandipura,NC_020805.1
Chandiru virus,Phlebovirus candiruense,NC_015373.1;NC_015374.1;NC_015375.1
Circo-like virus-Brazil hs1,Circo-like virus-Brazil,NC_023888.1
Circular ssDNA virus sp.,Circular ssDNA virus sp.,NC_030449.1;NC_076626.1
Cocle virus,Phlebovirus cocleense,NC_078071.1;NC_078072.1;NC_078073.1
Cosavirus A,Cosavirus asiani,NC_012800.1
Cosavirus D,Cosavirus depakis,NC_012802.1
Cosavirus E,Cosavirus eaustrali,NC_012798.1
Cosavirus F,Cosavirus fepakis,NC_034385.1
Cosavirus JMY-2014,Cosavirus JMY-2014,NC_025961.1
Coxsackievirus B3,Enterovirus betacoxsackie,NC_038307.1
Cutavirus,Protoparvovirus primate3,NC_039050.1
Cyclovirus NG12,Cyclovirus mmadu,NC_038416.1
Cyclovirus NG14,Cyclovirus mutum,NC_038417.1
Cyclovirus PK5006,Cyclovirus insaan,NC_036877.1
Cyclovirus PK5034,Cyclovirus homa,NC_038415.1
Cyclovirus PK5222,Cyclovirus manukha,NC_038413.1
Cyclovirus PK5510,Cyclovirus maanav,NC_038412.1
Cyclovirus SL-108277,Cyclovirus manitan,NC_038418.1
Cyclovirus TN25,Cyclovirus bashri,NC_038414.1
Cyclovirus VN,Cyclovirus nhanloai,NC_039215.1
Dar es Salaam virus TZ-189,Tanzavirus daressalaamense,NC_078297.1;NC_078298.1;NC_078299.1
Eastern chimpanzee simian foamy virus,Simiispumavirus pantrosch,NC_039025.1
Echarate virus,Phlebovirus echarateense,NC_055339.1;NC_055340.1;NC_055341.1
Ekpoma virus 1,Tibrovirus alphaekpoma,NC_038282.1
Ekpoma virus 2,Tibrovirus betaekpoma,NC_038283.1
enterovirus A114,Enterovirus alphacoxsackie,NC_030454.1
European bat lyssavirus 2,Lyssavirus helsinki,NC_009528.2
Fort Sherman virus,Orthobunyavirus shermanense,NC_043615.1;NC_043616.1;NC_043617.1
Gammapapillomavirus sp.,Gammapapillomavirus sp.,NC_040550.1;NC_040619.1;NC_040620.1;NC_040688.1;NC_040691.1;NC_040803.1;NC_040804.1;NC_040805.1;NC_040806.1
Gemycircularvirus C1c,Gemykibivirus humas3,NC_038496.1
Gemycircularvirus HV-GcV1,Gemycircularvirus HV-GcV1,NC_030447.1
Gemycircularvirus HV-GcV2,Gemykibivirus humas5,NC_030448.1
Gemycircularvirus sp.,Gemycircularvirus sp.,NC_076496.1
Guaroa virus,Orthobunyavirus guaroaense,NC_034486.1;NC_034487.1;NC_034506.1
Guenon simian foamy virus,Simiispumavirus cernic,NC_043445.1
Gyrovirus 4,Gyrovirus homsa3,NC_018401.1
Gyrovirus GyV3,Gyrovirus homsa1,NC_017091.1
Gyrovirus Tu243,Gyrovirus homsa4,NC_022788.1
Gyrovirus Tu789,Gyrovirus homsa2,NC_022789.1
Heartland virus,Bandavirus heartlandense,NC_024494.1;NC_024495.1;NC_024496.1;NC_078062.1;NC_078063.1;NC_078064.1
Hepacivirus platyrrhini,Hepacivirus platyrrhini,NC_038426.1
Hepatitis C virus genotype 3,Hepacivirus hominis,NC_009824.1
Hepatitis C virus genotype 4,Hepacivirus hominis,NC_009825.1
Hepatitis C virus genotype 5,Hepacivirus hominis,NC_009826.1
Hepatitis C virus genotype 7,Hepacivirus hominis,NC_030791.1
HMO Astrovirus A,HMO Astrovirus A,NC_013443.1
Hudisavirus jaqis,Hudisavirus jaqis,NC_129209.1
Hudisavirus sp.,Hudisavirus sp.,NC_035475.1
Human alphaherpesvirus 2,Simplexvirus humanalpha2,NC_001798.2
Human alphaherpesvirus 3,Varicellovirus humanalpha3,NC_001348.1
Human associated cyclovirus 10,Cyclovirus humana,NC_023874.2
Human associated gemyvongvirus 1,Gemyvongvirus humas1,NC_028459.1
Human associated huchismacovirus 1,Huchismacovirus humas1,NC_039061.1
Human associated huchismacovirus 2,Huchismacovirus humas2,NC_039062.1
Human associated huchismacovirus 3,Huchismacovirus humas3,NC_039063.1
Human associated porprismacovirus,Inpeasmacovirus humas1,NC_076251.1
Human associated porprismacovirus 3,Porprismacovirus humas4,NC_076235.1
Human astrovirus BF34,Burkina Faso astrovirus,NC_024472.1
Human betaherpesvirus 5,Cytomegalovirus humanbeta5,NC_006273.2
Human betaherpesvirus 6A,Roseolovirus humanbeta6a,NC_001664.4
Human betaherpesvirus 6B,Roseolovirus humanbeta6b,NC_000898.1
Human betaherpesvirus 7,Roseolovirus humanbeta7,NC_001716.2
Human bocavirus 2c PK,Bocaparvovirus primate2,NC_012042.1
Human bocavirus 3,Bocaparvovirus primate1,NC_012564.1
Human bocavirus 4 NI,Bocaparvovirus primate2,NC_012729.2
Human circovirus 1,Circovirus human,NC_135454.1
Human circovirus VS6600022,Amaruvirus aka,NC_024694.1
Human coronavirus HKU1,Betacoronavirus hongkongense,NC_006577.2
Human cosavirus,Human cosavirus,NC_023984.1
Human cosavirus B,Cosavirus bepakis,NC_012801.1
Human cyclovirus VS5700009,Cyclovirus munthu,NC_021568.1
Human DNA virus,Human DNA virus,NC_040309.1
Human endogenous retrovirus K113,Human endogenous retrovirus K,NC_022518.1
Human erythrovirus V9,Human erythrovirus V9,NC_004295.1
Human fecal virus Jorvi2,Human fecal virus Jorvi2,NC_035212.1
Human fecal virus Jorvi3,Human fecal virus Jorvi3,NC_035213.1
Human fecal virus Jorvi4,Human fecal virus Jorvi4,NC_035211.1
Human feces pecovirus,Human feces pecovirus,NC_040306.1
Human feces smacovirus 2,Porprismacovirus humas1,NC_039070.1
Human feces smacovirus 3,Porprismacovirus humas3,NC_035474.1;NC_075341.1
Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NC_007605.1
Human gammaherpesvirus 8,Rhadinovirus humangamma8,NC_009333.1
Human gemycircularvirus GeTz1,Gemykibivirus humas4,NC_038497.1
Human genital-associated circular DNA virus-1,Gemygorvirus sewopo1,NC_026817.1
Human hepegivirus,Pegivirus columbiaense,NC_038436.1
Human herpesvirus 4 type 2,Lymphocryptovirus humangamma4,NC_009334.1
Human immunodeficiency virus 1,Lentivirus humimdef1,NC_001802.1
Human immunodeficiency virus 2,Lentivirus humimdef2,NC_001722.1
Human lung-associated vientovirus FB,Torbevirus viento,NC_055523.1
Human mastadenovirus A,Mastadenovirus adami,NC_001460.1
Human mastadenovirus B,Mastadenovirus blackbeardi,NC_011202.1;NC_011203.1
Human mastadenovirus C,Mastadenovirus caesari,NC_001405.1
Human mastadenovirus D,Mastadenovirus dominans,NC_010956.1
Human mastadenovirus F,Mastadenovirus faecale,NC_001454.1
Human papillomavirus,Human papillomavirus,NC_027779.1
Human papillomavirus 116,Gammapapillomavirus 9,NC_013035.1
Human papillomavirus 121,Gammapapillomavirus 10,NC_014185.1
Human papillomavirus 126,Gammapapillomavirus 11,NC_016157.1
Human papillomavirus 127,Gammapapillomavirus 12,NC_014469.1
Human papillomavirus 132,Gammapapillomavirus 12,NC_014955.1
Human papillomavirus 134,Gammapapillomavirus 7,NC_014956.1
Human papillomavirus 135,Gammapapillomavirus 15,NC_017993.1
Human papillomavirus 136,Gammapapillomavirus 11,NC_017994.1
