Accession,Subtype,Source Location,Locus,Version,Definition,Source,Organism,Sequence Length,GenBank File,source:clone,source:collection_date,source:db_xref,source:geo_loc_name,source:host,source:isolate,source:isolation_source,source:mol_type,source:note,source:organism,source:serotype,source:strain,source:tissue_type
M62321,1a,1..9401,HPCPLYPRE,M62321.1,"Hepatitis C virus subtype 1a, complete genome.",hepatitis C virus genotype 1a,hepatitis C virus genotype 1a Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9401,subtype_files/M62321.gb,,,taxon:2847144,,,,,genomic RNA,,hepatitis C virus genotype 1a,,,
M67463,1a,1..9416,HPCCGAA,M67463.1,"Hepatitis C virus subtype 1a, complete genome.",hepatitis C virus genotype 1a,hepatitis C virus genotype 1a Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9416,subtype_files/M67463.gb,,,taxon:2847144,,,,,genomic RNA,,hepatitis C virus genotype 1a,,,
D90208,1b,1..9413,HPCJCG,D90208.1,"Hepatitis C virus ORF gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9413,subtype_files/D90208.gb,,,taxon:3052230,,,,human plasma,genomic RNA,,Orthohepacivirus hominis,,J,
M58335,1b,1..9416,HPCHUMR,M58335.1,"Hepatitis C virus subtype 1b, complete genome.",Hepatitis C virus subtype 1b,Hepatitis C virus subtype 1b Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9416,subtype_files/M58335.gb,,,taxon:31647,,,,,genomic RNA,,Hepatitis C virus subtype 1b,,,
D14853,1c,1..9487,HPCCGS,D14853.1,"Hepatitis C virus (isolate HC-G9) genomic RNA, complete genome.",Hepatitis C virus (isolate HC-G9),Hepatitis C virus (isolate HC-G9) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9487,subtype_files/D14853.gb,,,taxon:356410,,,HC-G9,,genomic RNA,,Hepatitis C virus (isolate HC-G9),,,
AY051292,1c,1..9441,AY051292,AY051292.1,"Hepatitis C virus (isolate India) polyprotein mRNA, complete cds.",Hepatitis C virus (isolate India),Hepatitis C virus (isolate India) Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9441,subtype_files/AY051292.gb,,,taxon:356386,India,,,,mRNA,,Hepatitis C virus (isolate India),,,
KJ439768,1d,1..9451,KJ439768,KJ439768.1,"Hepatitis C virus isolate QC103, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9397,subtype_files/KJ439768.gb,,,taxon:3052230,Canada,Homo sapiens,QC103,serum of a female immigrant living in Quebec with her origin in Morocco,genomic RNA,genotype: 1d,Orthohepacivirus hominis,,,
KC248194,1e,1..9422,KC248194,KC248194.1,"Hepatitis C virus isolate 148636, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9418,subtype_files/KC248194.gb,,,taxon:3052230,United Kingdom,Homo sapiens,148636,serum of an immigrant from Africa,genomic RNA,subtype: 1e,Orthohepacivirus hominis,,,
KJ439769,1e,1..9424,KJ439769,KJ439769.1,"Hepatitis C virus isolate QC172, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9401,subtype_files/KJ439769.gb,,,taxon:3052230,Canada,Homo sapiens,QC172,serum of a male immigrant living in Quebec with his origin in East Central Africa,genomic RNA,genotype: 1e,Orthohepacivirus hominis,,,
AM910652,1g,1..9490,AM910652,AM910652.2,Hepatitis C virus subtype 1g complete genome.,Hepatitis C virus subtype 1g,Hepatitis C virus subtype 1g Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9490,subtype_files/AM910652.gb,,,taxon:484894,Spain:Barcelona,Homo sapiens,1804,,genomic RNA,,Hepatitis C virus subtype 1g,,,serum
KJ439770,1g,1..9462,KJ439770,KJ439770.1,"Hepatitis C virus isolate QC78, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9431,subtype_files/KJ439770.gb,,,taxon:3052230,Canada,Homo sapiens,QC78,serum of a female immigrant living in Quebec with her origin in Egypt,genomic RNA,genotype: 1g,Orthohepacivirus hominis,,,
KC248198,1h,1..9421,KC248198,KC248198.1,"Hepatitis C virus isolate EBW443, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9410,subtype_files/KC248198.gb,,,taxon:3052230,Cameroon,Homo sapiens,EBW443,serum,genomic RNA,subtype: 1h; genotype: 1,Orthohepacivirus hominis,,,
KC248199,1h,1..9420,KC248199,KC248199.1,"Hepatitis C virus isolate EBW9, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9414,subtype_files/KC248199.gb,,,taxon:3052230,Cameroon,Homo sapiens,EBW9,serum,genomic RNA,subtype: 1h; genotype: 1,Orthohepacivirus hominis,,,
KJ439772,1i,1..9421,KJ439772,KJ439772.1,"Hepatitis C virus isolate QC181, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9417,subtype_files/KJ439772.gb,,,taxon:3052230,Canada,Homo sapiens,QC181,serum of a female immigrant living in Quebec with her origin in Algeria,genomic RNA,genotype: 1i,Orthohepacivirus hominis,,,
KJ439773,1j,1..9413,KJ439773,KJ439773.1,"Hepatitis C virus isolate QC329, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9403,subtype_files/KJ439773.gb,,,taxon:3052230,Canada,Homo sapiens,QC329,serum of a female immigrant living in Quebec with her origin in Haiti,genomic RNA,genotype: 1j,Orthohepacivirus hominis,,,
KJ439774,1k,1..9446,KJ439774,KJ439774.1,"Hepatitis C virus isolate QC82, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9437,subtype_files/KJ439774.gb,,,taxon:3052230,Canada,Homo sapiens,QC82,serum of a female immigrant living in Quebec with her origin in Haiti,genomic RNA,genotype: 1k,Orthohepacivirus hominis,,,
KC248193,1l,1..9430,KC248193,KC248193.1,"Hepatitis C virus isolate 136142, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9423,subtype_files/KC248193.gb,,,taxon:3052230,,Homo sapiens,136142,serum of an immigrant from Africa,genomic RNA,subtype: 1?,Orthohepacivirus hominis,,,
KC248197,1l,1..9433,KC248197,KC248197.1,"Hepatitis C virus isolate EBW424, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9431,subtype_files/KC248197.gb,,,taxon:3052230,Cameroon,Homo sapiens,EBW424,serum,genomic RNA,subtype: 1l; genotype: 1,Orthohepacivirus hominis,,,
KJ439778,1m,1..9448,KJ439778,KJ439778.1,"Hepatitis C virus isolate QC196, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9441,subtype_files/KJ439778.gb,,,taxon:3052230,Canada,Homo sapiens,QC196,serum of a male immigrant living in Quebec with his origin in Haiti,genomic RNA,genotype: 1,Orthohepacivirus hominis,,,
KJ439782,1m,1..9448,KJ439782,KJ439782.1,"Hepatitis C virus isolate QC87, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9441,subtype_files/KJ439782.gb,,,taxon:3052230,Canada,Homo sapiens,QC87,serum of a male immigrant living in Quebec with his origin in Haiti,genomic RNA,genotype: 1,Orthohepacivirus hominis,,,
